"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.780113375E0,1.045890060E1,-9.768685913E-1,3.865860901E0
3.790173375E0,1.079435303E1,-3.070115662E-1,3.608545990E0
3.800233375E0,1.087982529E1,6.706054688E-2,3.010689240E0
3.810293375E0,1.079734680E1,1.691482544E-1,2.454745331E0
3.820353375E0,1.037597305E1,1.300794983E-1,1.816622314E0
3.830413375E0,9.817185059E0,-5.358856201E-2,1.320254517E0
3.840473375E0,9.486073608E0,-5.516029358E-1,1.004411316E0
3.850533375E0,9.270970917E0,-1.008452911E0,8.425978088E-1
3.860593375E0,9.244326324E0,-1.306034088E0,6.798861694E-1
3.870653375E0,9.190139008E0,-1.478026428E0,6.400689697E-1
3.880713375E0,9.078022156E0,-1.609752502E0,6.075865173E-1
3.890773375E0,9.154213715E0,-1.775158539E0,5.626799011E-1
3.900833375E0,9.352850647E0,-1.907932434E0,8.168513489E-1
3.910894375E0,9.260941772E0,-1.851200409E0,1.206940155E0
3.920954375E0,9.151070251E0,-1.815275116E0,1.593137054E0
3.931014375E0,8.968599701E0,-1.902094574E0,1.706301727E0
3.941074375E0,8.758287048E0,-2.004631348E0,1.602717133E0
3.951134375E0,8.621022491E0,-2.132764893E0,1.693278809E0
3.961194375E0,8.488098907E0,-2.366279297E0,1.921554108E0
3.971254375E0,8.546178131E0,-2.692001953E0,2.224973145E0
3.981314375E0,8.872649231E0,-3.126548309E0,2.666854248E0
3.991374375E0,9.313781891E0,-3.632795563E0,3.186573486E0
4.001434375E0,9.827064514E0,-4.014352112E0,3.705693970E0
4.011494375E0,1.024768982E1,-4.165388031E0,4.318369904E0
4.021554375E0,1.056233551E1,-4.228856049E0,4.916975098E0
4.031614375E0,1.069451065E1,-4.226910095E0,5.298082581E0
4.041674375E0,1.069825287E1,-4.140240326E0,5.599555664E0
4.051734375E0,1.058478882E1,-4.007167053E0,5.558690643E0
4.061794375E0,1.035591476E1,-3.803590393E0,5.244643707E0
4.071854375E0,1.037627243E1,-3.386108551E0,4.822521515E0
4.081914375E0,1.055365356E1,-2.846331024E0,4.956043854E0
4.091974375E0,1.039618103E1,-3.179388428E0,4.664899292E0
4.102034375E0,1.045860123E1,-2.832409973E0,4.727020111E0
