"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.522499625E0,8.458161163E0,-3.204536133E0,1.684147797E0
3.532561625E0,8.131839752E0,-3.200344849E0,2.096989288E0
3.542622625E0,7.805069275E0,-3.246748352E0,2.353855133E0
3.552684625E0,7.491321716E0,-3.440744934E0,2.349364471E0
3.562745625E0,7.048991547E0,-3.540886688E0,1.965562592E0
3.572806625E0,6.608757019E0,-3.517535248E0,1.515747986E0
3.582868625E0,6.301895142E0,-3.450025635E0,1.124162292E0
3.592929625E0,6.076763306E0,-3.507206726E0,8.786727905E-1
3.602990625E0,5.905220032E0,-3.595972137E0,7.770341492E-1
3.613052500E0,5.944887543E0,-3.583847351E0,8.276289368E-1
3.623113500E0,6.190077667E0,-3.558849335E0,9.264234924E-1
3.633175500E0,6.439459076E0,-3.532055054E0,1.076710968E0
3.643236500E0,6.471492462E0,-3.479214935E0,1.118923187E0
3.653297500E0,6.358477478E0,-3.502716064E0,1.195264435E0
3.663359500E0,6.253845062E0,-3.723057861E0,1.187929688E0
3.673420500E0,6.188431091E0,-4.030668182E0,1.150208130E0
3.683482500E0,6.173312531E0,-4.296964417E0,1.230441284E0
3.693543500E0,6.154152374E0,-4.564607849E0,1.228944397E0
3.703604500E0,6.079308014E0,-4.776567078E0,1.280736694E0
3.713666500E0,6.005062408E0,-5.113067322E0,1.414857788E0
3.723727500E0,6.113287354E0,-5.410349121E0,1.543141022E0
3.733789500E0,6.378984833E0,-5.683830414E0,1.424288177E0
3.743850500E0,6.749913483E0,-5.977819061E0,1.131047974E0
3.753911500E0,7.074738007E0,-6.434070282E0,9.325607300E-1
3.763973500E0,7.289541321E0,-7.039411469E0,9.569599915E-1
3.774034500E0,7.587122498E0,-7.562124481E0,1.037342834E0
3.784095500E0,8.042176208E0,-7.873027954E0,1.148112488E0
3.794157500E0,8.535550232E0,-7.934550018E0,1.234632568E0
3.804218500E0,8.990304565E0,-8.004304962E0,9.002279663E-1
3.814280500E0,9.532477112E0,-8.068371735E0,2.538720703E-1
3.824341500E0,9.993218994E0,-7.945926361E0,-1.386117554E-1
3.834402500E0,1.025382706E1,-7.571405182E0,-4.445755005E-2
3.844464500E0,1.036205200E1,-7.157515869E0,2.694396973E-1
3.854525500E0,1.027014313E1,-7.037166138E0,7.334747314E-1
3.864587500E0,9.882599030E0,-7.148085480E0,1.415306854E0
3.874648500E0,9.222771149E0,-6.939868469E0,2.086960144E0
3.884709500E0,8.606352997E0,-6.366560669E0,2.560425568E0
3.894771500E0,8.448730774E0,-5.792205048E0,2.753524017E0
3.904832500E0,8.598718872E0,-5.437891846E0,2.507136383E0
3.914894500E0,8.932524719E0,-5.182672577E0,2.139500885E0
3.924955500E0,9.246571655E0,-5.134173431E0,1.813778229E0
3.935016500E0,9.494007111E0,-5.177732849E0,1.509311371E0
3.945078500E0,9.726473694E0,-5.285957794E0,1.321002960E0
3.955139500E0,9.899064789E0,-5.338199158E0,1.352587280E0
3.965201500E0,1.002510269E1,-5.198240204E0,1.202299805E0
3.975262500E0,1.005548950E1,-4.962779846E0,1.054407349E0
3.985323500E0,1.002375549E1,-4.790039062E0,9.771679688E-1
3.995385500E0,9.951006775E0,-4.628824310E0,9.231303406E-1
4.005446500E0,9.792336731E0,-4.486620026E0,1.130748596E0
4.015508500E0,9.672585754E0,-4.276756439E0,1.451681213E0
4.025569500E0,9.515113220E0,-4.050576782E0,1.805695038E0
4.035630500E0,9.335935822E0,-3.662882996E0,1.963916016E0
4.045692500E0,8.990903320E0,-3.206631775E0,1.743125153E0
4.055753500E0,8.824748840E0,-2.848726044E0,1.471440125E0
4.065814500E0,8.970246277E0,-2.192041626E0,1.287921753E0
4.075876500E0,8.645870819E0,-1.789828033E0,9.451345825E-1
4.085937500E0,8.266559601E0,-1.494192810E0,7.375163269E-1
